yearID,,W,L,Win%,Quartile,IPouts,R,H,2B,3B,HR,BB,SO,SB,RA,SHO,SV,HA,HRA,BBA,SOA,E,DP,FP,ERA,WHIP
1915,,90,62,0.592105263,1,4122,3.875,8,1.328947368,0.256578947,0.381578947,3.026315789,3.947368421,0.796052632,3.046052632,0.131578947,0.052631579,7.638157895,0.171052632,2.25,4.289473684,1.421052632,0.651315789,0.966,2.17,0.007196621
1915,,73,81,0.474025974,3,4140,3.616883117,8.175324675,1.279220779,0.590909091,0.155844156,2.720779221,4.25974026,1.181818182,3.376623377,0.116883117,0.071428571,7.980519481,0.136363636,2.493506494,3.532467532,1.38961039,0.649350649,0.966,2.6,0.007589874
1915,,86,67,0.562091503,1,4146,3.869281046,8.614379085,1.176470588,0.522875817,0.130718954,2.928104575,3.666666667,1.464052288,3.424836601,0.104575163,0.078431373,8.320261438,0.241830065,2.882352941,3.379084967,1.137254902,0.640522876,0.971,2.79,0.008106089
1915,,63,91,0.409090909,4,4209,3.383116883,8.149350649,1.077922078,0.422077922,0.123376623,3.064935065,4.967532468,1.311688312,4.415584416,0.038961039,0.045454545,8.155844156,0.136363636,3.974025974,3.675324675,2.181818182,0.935064935,0.949,3.04,0.008645667
1915,,87,67,0.564935065,1,4278,4.116883117,8.727272727,1.292207792,0.525974026,0.149350649,3.74025974,3.25974026,1.266233766,3.422077922,0.155844156,0.058441558,8.227272727,0.142857143,2.571428571,4.532467532,1.344155844,0.720779221,0.968,2.73,0.007572722
1915,,72,81,0.470588235,3,4200,3.85620915,8.477124183,1.039215686,0.60130719,0.130718954,2.986928105,4.300653595,1.058823529,3.928104575,0.08496732,0.058823529,8.62745098,0.196078431,2.62745098,3.516339869,1.535947712,0.712418301,0.964,2.89,0.008039216
1915,,85,68,0.555555556,2,4179,3.718954248,8.006535948,0.993464052,0.516339869,0.078431373,2.993464052,3.535947712,1.215686275,3.209150327,0.137254902,0.08496732,7.588235294,0.078431373,2.973856209,4.673202614,1.503267974,0.660130719,0.964,2.31,0.007582262
1916,,91,63,0.590909091,1,4230,3.571428571,8.090909091,1.279220779,0.363636364,0.090909091,3.012987013,3.12987013,0.837662338,3.116883117,0.155844156,0.103896104,7.928571429,0.064935065,3.006493506,3.792207792,1.188311688,0.701298701,0.972,2.48,0.007755365
1916,,94,60,0.61038961,1,4281,3.798701299,8.87012987,1.266233766,0.519480519,0.181818182,2.305194805,3.571428571,1.214285714,3.058441558,0.142857143,0.058441558,7.798701299,0.155844156,2.415584416,4.116883117,1.454545455,0.584415584,0.965,2.12,0.007157874
1916,,89,63,0.585526316,1,4245,3.565789474,7.769736842,1.092105263,0.480263158,0.144736842,2.875,4.25,0.927631579,2.980263158,0.151315789,0.072368421,7.934210526,0.157894737,2.138157895,4.236842105,1.394736842,0.815789474,0.967,2.19,0.007118282
